year,anomaly,gcm,scenario
2034,1.19986259937286,pattern29,rcp45
2035,1.23986256122589,pattern29,rcp45
2036,1.27986252307892,pattern29,rcp45
2037,1.31986260414124,pattern29,rcp45
2038,1.35986256599426,pattern29,rcp45
2039,1.39986252784729,pattern29,rcp45
2040,1.44986259937286,pattern29,rcp45
2041,1.48986256122589,pattern29,rcp45
2042,1.52986252307892,pattern29,rcp45
2043,1.56986260414124,pattern29,rcp45
2044,1.61986255645752,pattern29,rcp45
2045,1.65986251831055,pattern29,rcp45
2046,1.69986259937286,pattern29,rcp45
2047,1.73986256122589,pattern29,rcp45
2048,1.78986251354218,pattern29,rcp45
2049,1.82986259460449,pattern29,rcp45
2050,1.87986254692078,pattern29,rcp45
2051,1.9198625087738,pattern29,rcp45
2052,1.95986258983612,pattern29,rcp45
2053,2.00986266136169,pattern29,rcp45
2054,2.04986262321472,pattern29,rcp45
2055,2.08986258506775,pattern29,rcp45
2056,2.12986254692078,pattern29,rcp45
2057,2.1698625087738,pattern29,rcp45
2058,2.19986248016357,pattern29,rcp45
2059,2.2398624420166,pattern29,rcp45
2060,2.27986264228821,pattern29,rcp45
2061,2.32986259460449,pattern29,rcp45
2062,2.36986255645752,pattern29,rcp45
2063,2.39986252784729,pattern29,rcp45
2064,2.43986248970032,pattern29,rcp45
2065,2.47986245155334,pattern29,rcp45
2066,2.50986266136169,pattern29,rcp45
2067,2.54986262321472,pattern29,rcp45
2068,2.58986258506775,pattern29,rcp45
2069,2.61986255645752,pattern29,rcp45
2070,2.64986252784729,pattern29,rcp45
2071,2.67986249923706,pattern29,rcp45
2072,2.70986247062683,pattern29,rcp45
2073,2.72986245155334,pattern29,rcp45
2074,2.75986266136169,pattern29,rcp45
2075,2.78986263275146,pattern29,rcp45
2076,2.81986260414124,pattern29,rcp45
2077,2.84986257553101,pattern29,rcp45
2078,2.86986255645752,pattern29,rcp45
2079,2.89986252784729,pattern29,rcp45
2080,2.9198625087738,pattern29,rcp45
2081,2.94986248016357,pattern29,rcp45
2082,2.96986246109009,pattern29,rcp45
2083,2.9898624420166,pattern29,rcp45
2084,3.00986266136169,pattern29,rcp45
2085,3.03986263275146,pattern29,rcp45
2086,3.05986261367798,pattern29,rcp45
2087,3.07986259460449,pattern29,rcp45
2088,3.09986257553101,pattern29,rcp45
2089,3.10986256599426,pattern29,rcp45
2090,3.12986254692078,pattern29,rcp45
2091,3.14986252784729,pattern29,rcp45
2092,3.15986251831055,pattern29,rcp45
2093,3.17986249923706,pattern29,rcp45
2094,3.19986248016357,pattern29,rcp45
2095,3.20986247062683,pattern29,rcp45
2096,3.22986245155334,pattern29,rcp45
2097,3.2398624420166,pattern29,rcp45
2098,3.25986266136169,pattern29,rcp45
2099,3.27986264228821,pattern29,rcp45
1981,-0.268563359975815,NorESM1-M,rcp45
1982,-0.25290834903717,NorESM1-M,rcp45
1983,-0.261026352643967,NorESM1-M,rcp45
1984,-0.203775346279144,NorESM1-M,rcp45
1985,-0.162790343165398,NorESM1-M,rcp45
1986,-0.135171353816986,NorESM1-M,rcp45
1987,-0.0881133526563644,NorESM1-M,rcp45
1988,-0.106332346796989,NorESM1-M,rcp45
1989,0.0567836500704288,NorESM1-M,rcp45
1990,0.164907649159431,NorESM1-M,rcp45
1991,-0.110360346734524,NorESM1-M,rcp45
1992,-0.259225338697433,NorESM1-M,rcp45
1993,-0.173135355114937,NorESM1-M,rcp45
1994,-0.186898350715637,NorESM1-M,rcp45
1995,-0.18479335308075,NorESM1-M,rcp45
1996,-0.0306183490902185,NorESM1-M,rcp45
1997,-0.044870350509882,NorESM1-M,rcp45
1998,-0.0275973491370678,NorESM1-M,rcp45
1999,0.135732650756836,NorESM1-M,rcp45
2000,0.0921536535024643,NorESM1-M,rcp45
2001,0.0595616512000561,NorESM1-M,rcp45
2002,0.0945956483483315,NorESM1-M,rcp45
2003,0.19130565226078,NorESM1-M,rcp45
2004,0.275625646114349,NorESM1-M,rcp45
2005,0.276449650526047,NorESM1-M,rcp45
2006,0.252401649951935,NorESM1-M,rcp45
2007,0.119833648204803,NorESM1-M,rcp45
2008,0.162191644310951,NorESM1-M,rcp45
2009,0.119222648441792,NorESM1-M,rcp45
2010,0.196188643574715,NorESM1-M,rcp45
2011,0.229879647493362,NorESM1-M,rcp45
2012,0.343221664428711,NorESM1-M,rcp45
2013,0.375631660223007,NorESM1-M,rcp45
2014,0.379659652709961,NorESM1-M,rcp45
2015,0.215872645378113,NorESM1-M,rcp45
2016,0.401327639818192,NorESM1-M,rcp45
2017,0.380575656890869,NorESM1-M,rcp45
2018,0.400595635175705,NorESM1-M,rcp45
2019,0.55010062456131,NorESM1-M,rcp45
2020,0.483999639749527,NorESM1-M,rcp45
2021,0.50795567035675,NorESM1-M,rcp45
2022,0.518026649951935,NorESM1-M,rcp45
2023,0.776663661003113,NorESM1-M,rcp45
2024,0.634268641471863,NorESM1-M,rcp45
2025,0.60912162065506,NorESM1-M,rcp45
2026,0.518575668334961,NorESM1-M,rcp45
2027,0.524801671504974,NorESM1-M,rcp45
2028,0.719717621803284,NorESM1-M,rcp45
2029,0.740042626857758,NorESM1-M,rcp45
2030,0.773245632648468,NorESM1-M,rcp45
2031,0.677603662014008,NorESM1-M,rcp45
2032,0.781576633453369,NorESM1-M,rcp45
2033,0.792318642139435,NorESM1-M,rcp45
2034,0.70635062456131,NorESM1-M,rcp45
2035,0.785879671573639,NorESM1-M,rcp45
2036,0.876180648803711,NorESM1-M,rcp45
2037,0.889303624629974,NorESM1-M,rcp45
2038,0.974417626857758,NorESM1-M,rcp45
2039,0.97197562456131,NorESM1-M,rcp45
2040,1.07561361789703,NorESM1-M,rcp45
2041,0.972708642482758,NorESM1-M,rcp45
2042,1.01146566867828,NorESM1-M,rcp45
2043,1.06606161594391,NorESM1-M,rcp45
2044,1.16347360610962,NorESM1-M,rcp45
2045,1.18965768814087,NorESM1-M,rcp45
2046,0.939291656017303,NorESM1-M,rcp45
2047,0.977773666381836,NorESM1-M,rcp45
2048,1.02684664726257,NorESM1-M,rcp45
2049,1.06136167049408,NorESM1-M,rcp45
2050,1.03179061412811,NorESM1-M,rcp45
2051,1.12853062152863,NorESM1-M,rcp45
2052,1.15532565116882,NorESM1-M,rcp45
2053,1.09734165668488,NorESM1-M,rcp45
2054,1.11958968639374,NorESM1-M,rcp45
2055,1.17751169204712,NorESM1-M,rcp45
2056,1.13847959041595,NorESM1-M,rcp45
2057,1.25209665298462,NorESM1-M,rcp45
2058,1.2656466960907,NorESM1-M,rcp45
2059,1.19994163513184,NorESM1-M,rcp45
2060,1.27492368221283,NorESM1-M,rcp45
2061,1.29146468639374,NorESM1-M,rcp45
2062,1.29704868793488,NorESM1-M,rcp45
2063,1.31419968605042,NorESM1-M,rcp45
2064,1.27263462543488,NorESM1-M,rcp45
2065,1.35603964328766,NorESM1-M,rcp45
2066,1.41255760192871,NorESM1-M,rcp45
2067,1.29826962947845,NorESM1-M,rcp45
2068,1.30336666107178,NorESM1-M,rcp45
2069,1.35960960388184,NorESM1-M,rcp45
2070,1.37019968032837,NorESM1-M,rcp45
2071,1.5136626958847,NorESM1-M,rcp45
2072,1.47756063938141,NorESM1-M,rcp45
2073,1.54472959041595,NorESM1-M,rcp45
2074,1.48930966854095,NorESM1-M,rcp45
2075,1.40822470188141,NorESM1-M,rcp45
2076,1.42613863945007,NorESM1-M,rcp45
2077,1.45979964733124,NorESM1-M,rcp45
2078,1.46565866470337,NorESM1-M,rcp45
2079,1.56004965305328,NorESM1-M,rcp45
2080,1.50749862194061,NorESM1-M,rcp45
2081,1.53880965709686,NorESM1-M,rcp45
2082,1.51662266254425,NorESM1-M,rcp45
2083,1.5346896648407,NorESM1-M,rcp45
2084,1.62901961803436,NorESM1-M,rcp45
2085,1.60137069225311,NorESM1-M,rcp45
2086,1.41502964496613,NorESM1-M,rcp45
2087,1.4132297039032,NorESM1-M,rcp45
2088,1.37627267837524,NorESM1-M,rcp45
2089,1.59462559223175,NorESM1-M,rcp45
2090,1.69548666477203,NorESM1-M,rcp45
2091,1.71419370174408,NorESM1-M,rcp45
2092,1.6646636724472,NorESM1-M,rcp45
2093,1.63106369972229,NorESM1-M,rcp45
2094,1.66792869567871,NorESM1-M,rcp45
2095,1.75060164928436,NorESM1-M,rcp45
2096,1.74284970760345,NorESM1-M,rcp45
2097,1.70915865898132,NorESM1-M,rcp45
2098,1.6940826177597,NorESM1-M,rcp45
2099,1.67174363136292,NorESM1-M,rcp45
1981,-0.216177895665169,MIROC-ESM,rcp45
1982,-0.320760905742645,MIROC-ESM,rcp45
1983,-0.391561895608902,MIROC-ESM,rcp45
1984,-0.33354789018631,MIROC-ESM,rcp45
1985,-0.265310913324356,MIROC-ESM,rcp45
1986,-0.159261897206306,MIROC-ESM,rcp45
